symbol,date,trade_id,timestamp,price,quantity,trader_id,violation_type,final_score,selection_source,event_anchor_trade_id,pass1_reason,confirmation_reason,reason
DOGEUSDT,2026-01-13,DOGEUSDT_00001885,2026-01-13 22:11:39.516733,0.14941,5.204734,wallet_DOG0002,coordinated_pump,0.68132688,direct_confirmation,DOGEUSDT_00001885,high_signal_qty_rolling_z,strict_coordinated_pump,"Confirmed pump event: trade inside pump-and-dump window, pump_score=0.26, qty_rolling_z=3.09"
DOGEUSDT,2026-01-13,DOGEUSDT_00001399,2026-01-13 22:07:08.661344,0.145106,0.117754,wallet_DOG0034,coordinated_pump,0.24029278,event_expansion,DOGEUSDT_00001885,,expanded_from_confirmed_event,Part of a confirmed coordinated pump event inside the same pump-and-dump window
DOGEUSDT,2026-01-13,DOGEUSDT_00001281,2026-01-13 22:11:43.346185,0.14933,0.06205,wallet_DOG0020,coordinated_pump,0.23958597,event_expansion,DOGEUSDT_00001885,,expanded_from_confirmed_event,Part of a confirmed coordinated pump event inside the same pump-and-dump window
ETHUSDT,2026-02-09,ETHUSDT_00001977,2026-02-09 20:08:36.054341,2140.6921,7.530303,wallet_ETH0066,coordinated_pump,0.65105138,direct_confirmation,ETHUSDT_00001977,high_signal_qty_rolling_z,strict_coordinated_pump,"Confirmed pump event: trade inside pump-and-dump window, pump_score=0.59, qty_rolling_z=4.25"
ETHUSDT,2026-02-26,ETHUSDT_00000797,2026-02-26 14:35:07.640985,2073.6073,0.806233,wallet_ETH0146,coordinated_pump,0.56833084,direct_confirmation,ETHUSDT_00000797,high_signal_qty_rolling_z,strict_coordinated_pump,"Confirmed pump event: trade inside pump-and-dump window, pump_score=0.15, qty_rolling_z=2.94"
ETHUSDT,2026-02-09,ETHUSDT_00002702,2026-02-09 20:08:28.097450,2145.7529,0.049251,wallet_ETH0012,coordinated_pump,0.21024743,event_expansion,ETHUSDT_00001977,,expanded_from_confirmed_event,Part of a confirmed coordinated pump event inside the same pump-and-dump window
ETHUSDT,2026-01-30,ETHUSDT_00003115,2026-01-30 04:10:28.758842,2748.8891,3.273823,wallet_ETH0041,ramping,0.6753931,direct_confirmation,ETHUSDT_00003115,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=4.41"
ETHUSDT,2026-01-29,ETHUSDT_00000971,2026-01-29 20:59:49.301617,2803.5164,2.136473,wallet_ETH0073,ramping,0.59543625,direct_confirmation,ETHUSDT_00000971,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=1.62"
ETHUSDT,2026-02-05,ETHUSDT_00003182,2026-02-05 18:44:15.995320,1925.4776,7.874637,wallet_ETH0027,ramping,0.56891034,direct_confirmation,ETHUSDT_00003182,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=12.37"
LTCUSDT,2026-01-15,LTCUSDT_00000181,2026-01-15 15:47:03.454988,70.746227,3.811284,wallet_LTC0074,wash_trading,0.74304954,direct_confirmation,LTCUSDT_00000181,high_signal_qty_rolling_z,strict_wash,"Confirmed wash-like flow: repeated near-zero net directional activity, wallet_freq_z=0.67"
LTCUSDT,2026-02-25,LTCUSDT_00000459,2026-02-25 01:12:46.675241,52.220494,0.941469,wallet_LTC0050,wash_trading,0.61157511,direct_confirmation,LTCUSDT_00000459,medium_signal_composite,strict_wash,"Confirmed wash-like flow: repeated near-zero net directional activity, wallet_freq_z=1.80"
LTCUSDT,2026-01-18,LTCUSDT_00000072,2026-01-18 17:41:10.003640,74.919592,0.359517,wallet_LTC0011,round_trip_wash,0.57737713,direct_confirmation,LTCUSDT_00000072,high_signal_round_trip,strict_wash,"Confirmed round-trip wash: opposite-side match within 15 minutes, round_trip_score=0.95"
LTCUSDT,2026-01-18,LTCUSDT_00000887,2026-01-18 17:42:39.594425,74.944575,0.36028,wallet_LTC0011,round_trip_wash,0.57362434,direct_confirmation,LTCUSDT_00000887,high_signal_round_trip,strict_wash,"Confirmed round-trip wash: opposite-side match within 15 minutes, round_trip_score=0.95"
LTCUSDT,2026-01-23,LTCUSDT_00001353,2026-01-23 23:35:43.950967,68.054357,10.539139,wallet_LTC0069,ramping,0.62343489,direct_confirmation,LTCUSDT_00001353,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=6.58"
LTCUSDT,2026-02-16,LTCUSDT_00001161,2026-02-16 21:51:13.297339,55.306106,1.838119,wallet_LTC0033,ramping,0.59809506,direct_confirmation,LTCUSDT_00001161,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=1.73"
SOLUSDT,2026-01-31,SOLUSDT_00002234,2026-01-31 18:43:58.562474,100.03063,4.078943,wallet_SOL0117,ramping,0.69265731,direct_confirmation,SOLUSDT_00002234,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=2.68"
SOLUSDT,2026-01-15,SOLUSDT_00000552,2026-01-15 03:37:16.536480,143.58761,18.223143,wallet_SOL0032,ramping,0.6707478,direct_confirmation,SOLUSDT_00000552,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=7.81"
SOLUSDT,2026-02-13,SOLUSDT_00000356,2026-02-13 09:05:15.193674,79.642822,6.911099,wallet_SOL0032,ramping,0.55809855,direct_confirmation,SOLUSDT_00000356,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=6.75"
SOLUSDT,2026-02-11,SOLUSDT_00000126,2026-02-11 08:32:43.102563,80.837271,6.852634,wallet_SOL0005,ramping,0.55806434,direct_confirmation,SOLUSDT_00000126,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=6.53"
SOLUSDT,2026-01-31,SOLUSDT_00002380,2026-01-31 17:34:34.176712,103.39169,0.3479,wallet_SOL0117,ramping,0.31000233,event_expansion,SOLUSDT_00002234,,expanded_from_confirmed_event,Part of a confirmed ramping event from the same wallet with monotonic price progression
SOLUSDT,2026-02-13,SOLUSDT_00000495,2026-02-13 10:05:42.284518,79.853943,0.434571,wallet_SOL0032,ramping,0.18816893,event_expansion,SOLUSDT_00000356,,expanded_from_confirmed_event,Part of a confirmed ramping event from the same wallet with monotonic price progression
USDCUSDT,2026-02-09,USDCUSDT_00001011,2026-02-09 11:01:00.000000,0.987836,198.0141,trader_05,peg_break,0.99784052,direct_confirmation,USDCUSDT_00001011,high_signal_usdc_peg_break,strict_peg_break,"Confirmed peg break: price=0.987836, deviation=1.22%, score=0.93"
USDCUSDT,2026-01-14,USDCUSDT_00001001,2026-01-14 11:39:00.000000,1.005697,268.84899,trader_01,peg_break,0.89834105,direct_confirmation,USDCUSDT_00001001,high_signal_usdc_peg_break,strict_peg_break,"Confirmed peg break: price=1.005697, deviation=0.57%, score=0.57"
USDCUSDT,2026-02-02,USDCUSDT_00001010,2026-02-02 10:48:00.000000,0.993304,126.01259,trader_04,peg_break,0.89085391,direct_confirmation,USDCUSDT_00001010,high_signal_usdc_peg_break,strict_peg_break,"Confirmed peg break: price=0.993304, deviation=0.67%, score=0.59"
